,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,81.18,73,40,4.61,scattered clouds
1,Hobart,AU,-42.8794,147.3294,39.06,80,90,1.01,overcast clouds
2,Luwuk,ID,-0.9516,122.7875,76.51,89,100,3.27,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,73.85,80,5,9.01,clear sky
4,Faya,SA,18.3851,42.4509,72.12,58,72,10.27,broken clouds
5,Koungou,YT,-12.7336,45.2042,76.71,73,0,5.75,clear sky
6,Khatanga,RU,71.9667,102.5,51.58,70,10,7.92,clear sky
7,Gornopravdinsk,RU,60.05,69.9,67.73,80,78,4.52,broken clouds
8,Haukipudas,FI,65.1765,25.3523,76.14,40,0,12.75,clear sky
9,Menongue,AO,-14.6585,17.691,84.24,7,3,8.66,clear sky
10,Ayan,RU,56.45,138.1667,51.93,77,4,5.95,clear sky
11,Haines Junction,CA,60.7522,-137.5108,49.95,93,63,0.0,broken clouds
12,Tasiilaq,GL,65.6145,-37.6368,46.56,93,99,4.92,overcast clouds
13,Bredasdorp,ZA,-34.5322,20.0403,60.12,77,100,4.61,overcast clouds
14,Busselton,AU,-33.65,115.3333,59.09,92,100,16.49,overcast clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,81,90,13.8,light rain
16,Torbay,CA,47.6666,-52.7314,75.97,81,75,28.77,broken clouds
17,Netanya,IL,32.3329,34.8599,92.84,61,0,7.63,clear sky
18,Ushuaia,AR,-54.8,-68.3,31.66,93,90,28.77,light snow
19,Mataura,NZ,-46.1927,168.8643,35.47,98,100,1.92,overcast clouds
20,Erbaa,TR,40.6689,36.5675,72.39,66,97,4.45,overcast clouds
21,Sorgun,TR,39.8101,35.186,75.06,40,97,14.61,light rain
22,Hermanus,ZA,-34.4187,19.2345,66.9,73,100,4.65,overcast clouds
23,Yellowknife,CA,62.456,-114.3525,64.92,72,75,14.97,light rain
24,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.15,70,40,17.27,scattered clouds
25,Nikolskoye,RU,59.7035,30.7861,62.49,98,100,8.66,light rain
26,Cape Town,ZA,-33.9258,18.4232,67.12,75,100,1.99,overcast clouds
27,Hampton,US,37.0299,-76.3452,81.01,87,75,5.75,broken clouds
28,Meulaboh,ID,4.1363,96.1285,79.72,83,100,5.7,overcast clouds
29,Kinkala,CG,-4.3614,14.7644,91.0,30,43,10.36,scattered clouds
30,Kapaa,US,22.0752,-159.319,76.12,77,41,1.01,light rain
31,Hofn,IS,64.2539,-15.2082,54.59,88,100,9.4,moderate rain
32,Vaini,TO,-21.2,-175.2,68.16,83,40,9.22,scattered clouds
33,Turochak,RU,52.2576,87.1224,62.33,78,54,0.49,broken clouds
34,Calvillo,MX,21.85,-102.7167,68.59,72,95,2.3,overcast clouds
35,Albany,US,42.6001,-73.9662,81.63,77,100,2.84,overcast clouds
36,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,76.8,94,0,2.3,clear sky
37,Mae Ramat,TH,16.984,98.5166,75.06,99,95,1.95,overcast clouds
38,Monte Patria,CL,-30.6919,-70.9467,57.76,69,76,3.22,broken clouds
39,Saskylakh,RU,71.9167,114.0833,47.73,81,16,7.83,few clouds
40,Fort Saint James,CA,54.4333,-124.25,51.82,69,66,3.06,broken clouds
41,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,67.51,62,3,6.87,clear sky
42,Victoria,HK,22.2855,114.1577,84.33,86,100,8.3,overcast clouds
43,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,34,0,33.38,clear sky
44,Mednogorskiy,RU,43.9178,41.1825,69.66,92,82,1.72,light rain
45,Lasa,IT,46.6166,10.7002,75.11,79,100,7.25,overcast clouds
46,Leningradskiy,RU,69.3833,178.4167,37.45,92,100,8.14,overcast clouds
47,Springdale,US,36.1867,-94.1288,81.57,77,1,11.5,clear sky
48,Kloulklubed,PW,7.0419,134.2556,77.5,85,100,8.05,overcast clouds
49,Hami,CN,42.8,93.45,85.96,17,0,9.31,clear sky
50,Ponta Do Sol,PT,32.6667,-17.1,78.12,79,55,4.47,broken clouds
51,Lebu,CL,-37.6167,-73.65,50.65,71,7,16.2,clear sky
52,Puerto Ayora,EC,-0.7393,-90.3518,73.36,84,87,5.99,overcast clouds
53,Ilulissat,GL,69.2167,-51.1,48.22,61,75,4.61,broken clouds
54,Biak,ID,-0.9131,122.8766,75.49,87,100,3.89,overcast clouds
55,Bluff,NZ,-46.6,168.3333,35.8,65,100,6.08,overcast clouds
56,Vredendal,ZA,-31.6683,18.5012,76.86,24,69,3.62,broken clouds
57,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,9.22,scattered clouds
58,Ostrovnoy,RU,68.0531,39.5131,60.13,73,32,13.04,scattered clouds
59,Santiago Del Estero,AR,-27.7951,-64.2615,76.8,27,6,15.75,clear sky
60,Lagoa,PT,39.05,-27.9833,69.01,68,100,14.07,overcast clouds
61,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,95,75,10.36,broken clouds
62,Merauke,ID,-8.4667,140.3333,74.03,80,84,12.97,broken clouds
63,Bilibino,RU,68.0546,166.4372,41.9,77,40,7.02,scattered clouds
64,Noumea,NC,-22.2763,166.4572,60.78,70,100,4.36,overcast clouds
65,Atuona,PF,-9.8,-139.0333,77.23,82,92,19.28,light rain
66,Vila Velha,BR,-20.3297,-40.2925,71.55,73,75,8.05,broken clouds
67,Mangrol,IN,21.1167,70.1167,82.35,78,74,8.77,broken clouds
68,Arlit,NE,18.7369,7.3853,105.82,12,44,2.57,scattered clouds
69,Waipawa,NZ,-41.4122,175.5153,50.04,92,68,5.64,broken clouds
70,Aksarka,RU,66.5606,67.7975,68.38,65,6,14.41,clear sky
71,Tiksi,RU,71.6872,128.8694,45.59,82,100,4.21,overcast clouds
72,Punta Arenas,CL,-53.15,-70.9167,35.62,93,40,27.63,light shower snow
73,Hamilton,US,39.1834,-84.5333,81.86,70,1,1.99,clear sky
74,Upernavik,GL,72.7868,-56.1549,41.09,93,100,9.4,overcast clouds
75,Kucove,AL,40.8003,19.9167,91.33,27,2,11.23,clear sky
76,Valday,RU,57.9747,33.2525,68.23,86,99,5.39,overcast clouds
77,Qaanaaq,GL,77.484,-69.3632,41.32,72,91,6.13,overcast clouds
